Ticker,Company,Price,Change,EPS,PE Ratio (ttm),Market Cap. (Million IDR)
POLY,PT. Asia Pacific Fibers Tbk,110.0,"-8 (-6,78%)",134.0,1.0,274450.0
INAI,PT. Indal Aluminium Industry Tbk,434.0,"-6 (-1,36%)",60.0,7.0,274722.0
KBLM,PT. Kabelindo Murni Tbk,246.0,"2 (0,82%)",11.0,23.0,275520.0
ARGO,PT. Argo Pantes Tbk,825.0,"0 (0,00%)",-14.0,-59.0,276375.0
DGIK,PT. Nusa Konstruksi Enjiniring Tbk,50.0,"0 (0,00%)",-14.0,-4.0,277050.0
UNSP,PT. Bakrie Sumatera Plantations Tbk,112.0,"1 (0,90%)",-592.0,-0.0,280000.0
MTRA,PT. Mitra Pemuda Tbk,368.0,"0 (0,00%)",9.0,41.0,283360.0
ALMI,PT. Alumindo Light Metal Industry Tbk,460.0,"-30 (-6,12%)",-84.0,-5.0,283360.0
CINT,PT. Chitose Internasional Tbk,290.0,"0 (0,00%)",16.0,18.0,290000.0
IKBI,PT. Sumi Indo Kabel Tbk,248.0,"-2 (-0,80%)",14.0,18.0,303552.0
GZCO,PT. Gozco Plantations Tbk,51.0,"-1 (-1,92%)",-58.0,-1.0,306000.0
IBFN,PT. Intan Baruprana Finance Tbk,202.0,"-20 (-9,01%)",-69.0,-3.0,306434.0
OKAS,PT. Ancora Indonesia Resources Tbk,175.0,"15 (9,38%)",-38.0,-5.0,308875.0
LION,PT. Lion Metal Works Tbk,595.0,"10 (1,71%)",52.0,12.0,309400.0
PSDN,PT. Prasidha Aneka Niaga Tbk,216.0,"14 (6,93%)",-21.0,-10.0,311040.0
TBMS,PT. Tembaga Mulia Semanan Tbk,850.0,"-60 (-6,59%)",152.0,6.0,311950.0
YPAS,PT. Yanaprima Hastapersada Tbk,476.0,"20 (4,39%)",-14.0,-34.0,317968.0
AKKU,PT. Anugerah Kagum Karya Utama Tbk,50.0,"0 (0,00%)",-1.0,-86.0,322450.0
LCKM,PT. LCK Global Kedaton Tbk,328.0,"0 (0,00%)",0.0,847.0,328000.0
SSTM,PT. Sunson Textile Manufacturer Tbk,284.0,"-88 (-23,66%)",17.0,17.0,332280.0
SULI,PT. SLJ Global Tbk,84.0,"-1 (-1,18%)",22.0,4.0,334824.0
BEEF,PT. Estika Tata Tiara Tbk,183.0,"-3 (-1,61%)",16.0,12.0,344772.0
IGAR,PT. Champion Pacific Indonesia Tbk,370.0,"0 (0,00%)",35.0,11.0,359640.0
RELI,PT. Reliance Sekuritas Indonesia Tbk,200.0,"0 (0,00%)",5.0,40.0,360000.0
HDFA,PT. Radana Bhaskara Finance Tbk,160.0,"0 (0,00%)",-121.0,-1.0,372640.0
ALDO,PT. Alkindo Naratama Tbk,340.0,"6 (1,80%)",22.0,15.0,374000.0
SWAT,PT. Sriwahana Adityakarta Tbk,126.0,"1 (0,80%)",1.0,188.0,380394.0
NELY,PT. Pelayaran Nelly Dwi Putri Tbk,162.0,"0 (0,00%)",22.0,7.0,380700.0
AKPI,PT. Argha Karya Prima Industry Tbk,570.0,"0 (0,00%)",11.0,53.0,387600.0
BKDP,PT. Bukit Darmo Property Tbk,57.0,"0 (0,00%)",-5.0,-11.0,389310.0
GLOB,PT. Global Teleshop Tbk,352.0,"-28 (-7,37%)",-26.0,-13.0,391072.0
ARTI,PT. Ratu Prabu Energi Tbk,50.0,"0 (0,00%)",1.0,52.0,392000.0
KDSI,PT. Kedawung Setia Industrial Tbk,970.0,"-5 (-0,51%)",190.0,5.0,392850.0
ABBA,PT. Mahaka Media Tbk,145.0,"-2 (-1,36%)",-5.0,-27.0,393965.0
KOBX,PT. Kobexindo Tractors Tbk,177.0,"3 (1,72%)",16.0,11.0,402144.0
ZONE,PT. Mega Perintis Tbk,510.0,"-10 (-1,92%)",73.0,7.0,406470.0
NAGA,PT. Bank Mitraniaga Tbk,254.0,"-2 (-0,78%)",4.0,57.0,409448.0
SMMT,PT. Golden Eagle Energy Tbk,131.0,"-2 (-1,50%)",24.0,5.0,412650.0
GPRA,PT. Perdana Gapuraprima Tbk,97.0,"-2 (-2,02%)",6.0,17.0,414772.0
TALF,PT. Tunas Alfin Tbk,310.0,"26 (9,15%)",30.0,10.0,419430.0
LPGI,PT. Lippo General Insurance Tbk,2800.0,"0 (0,00%)",335.0,8.0,420000.0
PNSE,PT. Pudjiadi & Sons Tbk,535.0,"5 (0,94%)",-1.0,-622.0,426395.0
SRSN,PT. Indo Acidatama Tbk,71.0,"2 (2,90%)",7.0,10.0,427420.0
BIPP,PT. Bhuwanatala Indah Permai Tbk,86.0,"0 (0,00%)",-6.0,-15.0,432408.0
AMIN,PT. Ateliers Mecaniques D'Indonesie Tbk,402.0,"-30 (-6,94%)",22.0,19.0,434160.0
BELL,PT. Trisula Textile Industries Tbk,300.0,"22 (7,91%)",15.0,20.0,435000.0
KOPI,PT. Mitra Energi Persada Tbk,630.0,"-10 (-1,56%)",-19.0,-33.0,439110.0
